2325	7 (A W E U N B S) 
Hylotelephium_caucasicum	0100000
Hylotelephium_cauticola	0010000
Hylotelephium_cyaneum	0000010
Hylotelephium_erythrostictum	0010000
Hylotelephium_ewersii	0110000
Hylotelephium_mingjinianum	0010000
Hylotelephium_pallescens	0010000
Hylotelephium_pluricaule	0010000
Hylotelephium_populifolium	0100010
Hylotelephium_sieboldii	0010000
Hylotelephium_sordidum	0010000
Hylotelephium_spectabile	0010000
Hylotelephium_subcapitatum	0010000
Hylotelephium_tatarinowii	0010000
Hylotelephium_telephioides	0000100
Hylotelephium_telephium	0100010
Hylotelephium_verticillatum	0010000
Hylotelephium_viride	0010000
Hylotelephium_viridescens	0010000
Hypagophytum_abyssinicum	1000000
Itea_amoena	0010000
Itea_chinensis	0010000
Itea_coriacea	0010000
Itea_glutinosa	0010000
Itea_ilicifolia	0010000
Itea_indochinensis	0010000
Itea_japonica	0010000
Itea_kiukiangensis	0010000
Itea_macrophylla	0010000
Itea_nutans	0010000
Itea_oldhamii	0010000
Itea_omeiensis	0010000
Itea_parviflora	0010000
Itea_riparia	0010000
Itea_tenuinervia	0010000
Itea_virginica	0000100
Itea_yangchunensis	0010000
Itea_yunnanensis	0010000
Jepsonia_heterandra	0000100
Jepsonia_malvifolia	0000100
Jepsonia_parryi	0000100
Kalanchoe_alticola	1000000
Kalanchoe_ambolensis	1000000
Kalanchoe_arborescens	1000000
Kalanchoe_aromatica	1000000
Kalanchoe_ballyi	1000000
Kalanchoe_beauverdii	1000000
Kalanchoe_beharensis	1000000
Kalanchoe_bentii	0100000
Kalanchoe_bergeri	1000000
Kalanchoe_bipartita	1000000
Kalanchoe_blossfeldiana	1000000
Kalanchoe_bogneri	1000000
Kalanchoe_boisii	1000000
Kalanchoe_boranae	1000000
Kalanchoe_bouvetii	1000000
Kalanchoe_brachyloba	1000000
Kalanchoe_bracteata	1000000
Kalanchoe_campanulata	1000000
Kalanchoe_ceratophylla	0010000
Kalanchoe_chapototii	1000000
Kalanchoe_citrina	1000000
Kalanchoe_crenata	1000000
Kalanchoe_crundallii	1000000
Kalanchoe_curvula	1000000
Kalanchoe_daigremontiana	1000000
Kalanchoe_delagoensis	1000000
Kalanchoe_densiflora	1100000
Kalanchoe_dinklagei	1000000
